id,nome,data_nascimento,sexo,peso_kg,altura_m
1233,pessoa_453,2018-09-21,F,27.6,1.16
1234,pessoa_1552,2003-04-14,F,69.2,1.67
1235,pessoa_4435,1941-12-04,M,66.2,1.69
1236,pessoa_2955,1997-09-14,F,49.9,1.53
1237,pessoa_15,2018-06-17,M,21.5,1.12
1238,pessoa_3629,1986-04-12,M,65.9,1.65
1239,pessoa_946,2022-02-27,M,19.2,1.04
1240,pessoa_248,2021-11-25,F,16.3,0.96
1241,pessoa_4698,1954-12-13,F,53.3,1.57
1242,pessoa_361,2019-08-22,M,21.3,1.11
1243,pessoa_4657,1946-10-17,F,57.4,1.58
1244,pessoa_1615,1977-09-29,F,84.8,1.62
1245,pessoa_2304,1985-10-29,M,70.8,1.62
1246,pessoa_4142,1982-12-23,F,73.3,1.6
1247,pessoa_3169,1993-10-30,F,62.4,1.5
1248,pessoa_2479,1971-04-02,M,68.3,1.71
1249,pessoa_4215,1970-01-16,M,103.7,1.83
1250,pessoa_4181,1967-05-01,M,90.3,1.73
1251,pessoa_4885,1937-03-10,F,61.0,1.66
1252,pessoa_3164,1975-10-07,F,69.2,1.64
1253,pessoa_491,2019-08-22,M,23.0,1.17
1254,pessoa_863,2022-12-22,F,19.0,0.9
1255,pessoa_1741,1983-05-22,M,62.5,1.73
1256,pessoa_4100,1988-01-04,F,63.9,1.78
1257,pessoa_4386,1931-08-11,M,82.2,1.8
1258,pessoa_2448,2014-04-09,F,46.7,1.48
1259,pessoa_4231,1988-05-13,F,53.0,1.53
1260,pessoa_507,2016-04-25,F,31.9,1.33
1261,pessoa_2678,2013-02-22,M,49.9,1.6
1262,pessoa_2996,1981-12-24,F,55.1,1.59
1263,pessoa_1943,1999-06-25,M,86.0,1.65
1264,pessoa_1223,1993-07-29,M,50.0,1.62
1265,pessoa_1114,2003-01-01,M,60.0,1.77
1266,pessoa_1906,1986-10-23,M,61.3,1.65
1267,pessoa_3424,1980-07-17,F,87.5,1.65
1268,pessoa_1878,1992-02-17,M,68.6,1.85
1269,pessoa_4673,1960-06-27,F,64.3,1.63
1270,pessoa_434,2015-07-17,M,57.3,1.44
1271,pessoa_2365,1980-11-02,M,51.6,1.72
1272,pessoa_3155,2009-12-18,F,44.5,1.48
1273,pessoa_2836,2007-08-18,M,63.4,1.71
1274,pessoa_2093,1997-12-31,F,59.7,1.58
1275,pessoa_3011,2001-09-07,M,52.8,1.57
1276,pessoa_3163,1981-09-27,M,74.8,1.78
1277,pessoa_2946,2006-08-18,M,76.9,1.76
1278,pessoa_3917,2006-01-13,F,58.1,1.6
1279,pessoa_2917,2005-11-18,M,97.3,1.9
1280,pessoa_1103,1990-05-18,M,79.0,1.6
1281,pessoa_1449,1977-10-16,M,94.9,1.74
1282,pessoa_1721,1976-08-28,M,59.3,1.67
1283,pessoa_4519,1944-12-28,M,100.9,1.81
1284,pessoa_3843,1984-01-15,M,71.9,1.71
1285,pessoa_157,2020-06-09,M,15.9,1.01
1286,pessoa_2979,2005-10-19,M,114.4,1.67
1287,pessoa_1774,1975-10-28,F,57.7,1.57
1288,pessoa_616,2019-02-11,F,18.3,1.19
1289,pessoa_644,2019-12-09,F,23.3,1.21
1290,pessoa_1936,1986-01-26,M,90.9,1.84
1291,pessoa_4278,1940-05-19,F,90.4,1.66
1292,pessoa_1069,2009-07-16,F,60.1,1.56
1293,pessoa_4455,1957-09-10,M,61.4,1.74
1294,pessoa_4155,1986-12-27,M,72.0,1.67
1295,pessoa_4240,1983-12-19,M,67.7,1.83
1296,pessoa_4869,1939-04-10,F,55.5,1.55
1297,pessoa_331,2018-04-19,F,26.6,1.26
1298,pessoa_2058,1975-12-20,F,44.7,1.52
1299,pessoa_2647,1971-08-24,F,64.3,1.57
1300,pessoa_2192,2012-10-17,M,44.6,1.47
1301,pessoa_623,2016-12-10,F,35.3,1.35
1302,pessoa_1596,1994-04-29,M,64.4,1.83
1303,pessoa_2916,1988-06-09,M,60.0,1.7
1304,pessoa_4822,1963-01-23,F,88.3,1.61
1305,pessoa_3899,1997-09-23,M,89.1,1.85
1306,pessoa_1920,1988-10-02,F,72.6,1.64
1307,pessoa_4174,1979-05-25,M,63.4,1.73
1308,pessoa_4478,1956-01-27,F,65.0,1.59
1309,pessoa_756,2015-10-17,F,37.0,1.34
1310,pessoa_519,2015-12-29,F,29.3,1.36
1311,pessoa_3804,1999-10-25,F,83.4,1.67
1312,pessoa_33,2017-06-13,F,30.7,1.4
1313,pessoa_2938,1976-02-10,M,77.4,1.78
1314,pessoa_1158,1977-04-29,F,61.1,1.56
1315,pessoa_745,2014-05-23,M,37.5,1.45
1316,pessoa_1498,2008-02-03,F,61.0,1.63
1317,pessoa_3460,1969-02-28,M,78.3,1.79
1318,pessoa_3756,1967-05-20,F,68.2,1.58
1319,pessoa_2592,1991-09-07,M,75.3,1.83
1320,pessoa_784,2017-01-04,F,27.0,1.2
1321,pessoa_3494,2007-01-30,F,58.8,1.6
1322,pessoa_2950,2000-02-27,F,58.0,1.67
1323,pessoa_230,2021-05-16,M,20.7,0.96
1324,pessoa_858,2021-08-25,M,28.7,1.13
1325,pessoa_2267,1987-07-09,F,55.4,1.66
1326,pessoa_4275,1963-12-24,M,75.5,1.71
1327,pessoa_409,2025-10-17,M,5.5,0.47
1328,pessoa_171,2021-08-11,M,18.2,1.04
1329,pessoa_541,2023-12-14,M,12.4,0.81
1330,pessoa_2211,2005-10-16,F,46.6,1.63
1331,pessoa_2305,1975-11-12,F,70.0,1.56
1332,pessoa_2568,1977-01-18,M,61.7,1.66
1333,pessoa_614,2016-11-13,M,39.6,1.36
1334,pessoa_2102,2008-04-26,M,68.3,1.83
1335,pessoa_1809,1995-01-30,M,64.3,1.65
1336,pessoa_3439,2010-04-11,M,58.8,1.71
1337,pessoa_1162,1992-02-03,M,70.9,1.68
1338,pessoa_4226,1982-06-14,M,60.5,1.68
1339,pessoa_3120,1978-05-28,F,67.7,1.55
1340,pessoa_3653,1982-08-02,M,69.3,1.7
1341,pessoa_1611,2003-12-28,F,65.8,1.61
1342,pessoa_1933,1989-12-29,F,109.8,1.62
1343,pessoa_3028,1980-10-02,M,69.1,1.73
1344,pessoa_565,2022-06-17,F,18.4,0.95
1345,pessoa_3572,2010-03-05,F,47.7,1.55
1346,pessoa_4248,1984-08-02,F,95.3,1.57
1347,pessoa_2389,1972-07-03,M,118.1,1.79
1348,pessoa_1472,1972-12-05,M,81.3,1.78
1349,pessoa_2631,1999-11-15,M,98.4,1.77
1350,pessoa_1836,2011-07-17,M,46.2,1.5
1351,pessoa_4929,1948-01-03,F,76.5,1.73
1352,pessoa_3476,1983-09-20,F,81.4,1.77
1353,pessoa_1534,1971-07-28,F,87.9,1.55
1354,pessoa_4328,1947-04-08,F,56.1,1.58
1355,pessoa_2485,1978-12-26,F,59.2,1.68
1356,pessoa_4208,1985-10-20,F,77.8,1.6
1357,pessoa_1173,1966-12-01,M,72.4,1.94
1358,pessoa_1428,1989-02-07,M,79.0,1.72
1359,pessoa_326,2022-03-04,F,17.6,0.99
1360,pessoa_1052,1993-08-13,M,108.7,1.74
1361,pessoa_3320,2009-01-01,M,77.2,1.71
1362,pessoa_4722,1951-03-07,F,78.5,1.64
1363,pessoa_3865,2014-01-01,M,68.6,1.66
1364,pessoa_2604,1976-05-11,M,67.3,1.65
1365,pessoa_1739,2003-01-21,M,57.8,1.77
1366,pessoa_1197,1980-06-09,F,55.6,1.57
1367,pessoa_621,2017-10-06,F,18.2,1.23
1368,pessoa_1375,1993-08-31,M,65.4,1.78
1369,pessoa_2880,1981-12-13,M,71.6,1.6
1370,pessoa_1190,2002-01-17,F,64.1,1.66
1371,pessoa_329,2015-05-30,F,29.5,1.33
1372,pessoa_649,2025-07-27,M,8.3,0.45
1373,pessoa_898,2018-05-05,M,25.0,1.24
1374,pessoa_3883,1992-03-10,M,71.6,1.76
1375,pessoa_1124,1988-07-08,M,66.4,1.77
1376,pessoa_1892,1989-10-07,F,63.8,1.53
1377,pessoa_4644,1937-03-07,F,91.6,1.69
1378,pessoa_4792,1934-10-25,M,65.6,1.63
1379,pessoa_4530,1943-03-15,M,92.4,1.64
1380,pessoa_4235,1999-01-09,F,51.0,1.58
1381,pessoa_1594,1987-06-29,F,63.0,1.55
1382,pessoa_3313,2008-12-09,F,48.2,1.64
1383,pessoa_2548,1985-10-26,F,66.9,1.58
1384,pessoa_1546,1994-09-15,M,58.2,1.71
1385,pessoa_4337,1958-11-11,F,76.1,1.53
1386,pessoa_1024,2002-10-31,F,68.0,1.58
1387,pessoa_1972,2010-11-06,F,48.1,1.58
1388,pessoa_4989,1965-11-20,F,61.0,1.57
1389,pessoa_1715,1992-03-23,M,75.4,1.71
1390,pessoa_1718,1977-05-25,M,60.6,1.7
1391,pessoa_1478,1994-07-26,M,64.9,1.78
1392,pessoa_810,2020-02-09,M,26.4,1.16
1393,pessoa_2851,1975-08-21,F,81.2,1.67
1394,pessoa_979,2014-10-17,M,33.6,1.35
1395,pessoa_4688,1963-10-25,M,87.8,1.67
1396,pessoa_4896,1963-09-06,F,77.8,1.7
1397,pessoa_1685,1997-06-12,M,157.6,1.92
1398,pessoa_4661,1962-09-23,F,72.9,1.5
1399,pessoa_1515,2012-08-09,F,44.0,1.53
1400,pessoa_2405,2002-07-22,M,62.3,1.68
1401,pessoa_2022,2001-12-28,M,64.1,1.85
1402,pessoa_4554,1946-05-12,M,70.6,1.82
1403,pessoa_1768,2002-04-12,F,67.8,1.71
1404,pessoa_175,2017-12-03,F,28.6,1.25
1405,pessoa_1555,2006-10-06,M,69.4,1.75
1406,pessoa_4216,1999-09-23,M,123.8,1.79
1407,pessoa_1483,1980-08-22,M,70.5,1.72
1408,pessoa_4462,1949-12-30,M,99.6,1.74
1409,pessoa_218,2017-10-03,M,26.8,1.2
1410,pessoa_3915,1972-10-05,M,99.6,1.76
1411,pessoa_3721,1967-04-13,F,40.6,1.56
1412,pessoa_691,2017-01-14,F,33.0,1.38
1413,pessoa_2578,1977-05-15,F,107.7,1.63
1414,pessoa_2234,1980-04-26,M,98.2,1.75
1415,pessoa_2239,1979-07-15,F,60.7,1.72
1416,pessoa_1107,2013-07-23,F,38.3,1.47
1417,pessoa_1790,2006-06-30,F,41.6,1.55
1418,pessoa_3189,2000-01-17,F,80.9,1.71
1419,pessoa_2437,2009-03-31,F,48.0,1.57
1420,pessoa_612,2026-04-16,M,5.3,0.45
1421,pessoa_3661,1982-10-07,M,68.5,1.76
1422,pessoa_3712,1995-07-17,M,100.8,1.86
1423,pessoa_577,2025-07-09,F,9.2,0.45
1424,pessoa_2064,2004-01-18,M,109.1,1.67
1425,pessoa_4436,1933-09-14,F,67.2,1.62
1426,pessoa_1181,1979-08-03,M,83.6,1.64
1427,pessoa_889,2026-02-16,M,7.2,0.47
1428,pessoa_3129,2012-07-03,F,26.4,1.3
1429,pessoa_1733,1968-11-08,M,74.5,1.74
1430,pessoa_2664,1989-10-29,M,91.2,1.87
1431,pessoa_818,2025-08-31,F,9.9,0.46
1432,pessoa_3278,1988-12-14,F,51.6,1.59
1433,pessoa_1860,1978-10-26,F,47.8,1.56
1434,pessoa_209,2017-12-06,M,32.2,1.33
1435,pessoa_294,2020-08-12,F,21.6,1.07
1436,pessoa_1120,1970-10-05,F,63.3,1.76
1437,pessoa_2214,1975-11-22,F,97.3,1.68
1438,pessoa_1610,1972-01-06,F,59.5,1.71
1439,pessoa_1265,1986-07-23,M,78.4,1.83
1440,pessoa_991,2016-10-23,F,30.9,1.31
1441,pessoa_4198,2002-09-16,F,52.7,1.65
1442,pessoa_1617,2006-11-28,F,55.3,1.53
1443,pessoa_354,2015-05-01,M,39.1,1.48
1444,pessoa_4558,1941-04-27,F,91.1,1.56
1445,pessoa_2023,1984-12-03,M,131.0,1.8
1446,pessoa_3691,2010-05-07,F,60.8,1.7
1447,pessoa_2556,1966-05-07,F,43.6,1.57
1448,pessoa_3049,1988-10-13,M,161.1,1.89
1449,pessoa_1229,2004-03-06,M,59.5,1.69
1450,pessoa_260,2016-11-15,F,32.7,1.24
1451,pessoa_1520,2004-12-26,M,78.4,1.71
1452,pessoa_1778,1977-09-15,F,67.0,1.63
1453,pessoa_4740,1945-07-26,F,62.3,1.56
1454,pessoa_1771,1987-12-15,M,89.5,1.87
1455,pessoa_4354,1934-12-22,M,71.8,1.74
1456,pessoa_53,2015-08-30,F,32.3,1.3
1457,pessoa_3474,1998-01-01,F,84.3,1.63
1458,pessoa_4684,1940-03-01,F,50.8,1.44
1459,pessoa_4412,1953-10-29,M,61.3,1.62
1460,pessoa_2410,2003-11-27,M,63.7,1.78
1461,pessoa_2788,1987-09-05,F,55.2,1.61
1462,pessoa_2345,2010-01-27,F,48.2,1.59
1463,pessoa_1034,2007-06-02,F,62.4,1.68
1464,pessoa_1098,1993-11-20,M,85.6,1.62
1465,pessoa_544,2019-07-10,F,16.9,1.06
1466,pessoa_1047,1999-07-23,F,80.7,1.7
1467,pessoa_1895,1970-07-16,M,74.4,1.78
1468,pessoa_4377,1955-02-17,F,77.7,1.61
1469,pessoa_31,2019-04-21,M,32.0,1.08
1470,pessoa_726,2022-05-02,M,14.5,0.84
1471,pessoa_4962,1948-09-07,F,65.6,1.59
1472,pessoa_4719,1938-10-16,F,71.5,1.55
1473,pessoa_3904,2003-05-26,M,49.8,1.73
1474,pessoa_1427,2012-02-06,M,72.1,1.68
1475,pessoa_2498,1992-03-15,M,65.5,1.71
1476,pessoa_437,2021-08-09,F,18.0,0.99
1477,pessoa_2471,2007-06-30,F,73.9,1.65
1478,pessoa_913,2018-01-11,M,30.4,1.22
1479,pessoa_4223,2000-04-12,M,49.9,1.63
1480,pessoa_4353,1933-12-18,F,68.7,1.57
1481,pessoa_4513,1953-01-27,F,87.4,1.62
1482,pessoa_4444,1937-12-09,M,67.8,1.68
1483,pessoa_2288,1989-09-18,F,70.9,1.63
1484,pessoa_4598,1955-02-20,M,83.3,1.71
1485,pessoa_1239,1999-11-13,F,72.0,1.62
1486,pessoa_904,2024-03-02,M,12.0,0.87
1487,pessoa_3621,1970-06-27,F,100.8,1.64
1488,pessoa_3232,1981-03-27,F,100.0,1.63
1489,pessoa_2860,2001-01-13,M,74.8,1.81
1490,pessoa_508,2021-05-10,M,18.2,0.98
1491,pessoa_3222,1974-02-21,M,72.3,1.77
1492,pessoa_184,2020-02-07,M,25.0,1.09
1493,pessoa_1565,1968-04-16,M,89.8,1.85
1494,pessoa_2705,1979-12-24,M,102.4,1.65
1495,pessoa_322,2015-04-07,M,41.1,1.46
1496,pessoa_3564,1968-09-20,M,99.3,1.67
1497,pessoa_1539,1997-03-23,M,61.9,1.68
1498,pessoa_1838,1976-04-09,F,66.3,1.66
1499,pessoa_2381,1981-01-21,M,70.2,1.66
1500,pessoa_1913,1973-08-27,M,99.9,1.79
1501,pessoa_1841,1998-08-20,F,66.8,1.67
1502,pessoa_2116,2009-10-19,F,57.0,1.62
1503,pessoa_4438,1940-07-10,F,71.0,1.52
1504,pessoa_1147,1980-03-07,F,57.9,1.63
1505,pessoa_2487,1982-12-19,M,58.3,1.67
1506,pessoa_45,2022-07-24,F,10.3,0.83
1507,pessoa_2155,1969-08-30,F,68.4,1.71
1508,pessoa_1527,1989-11-11,M,64.7,1.74
1509,pessoa_4856,1957-03-07,M,83.8,1.64
1510,pessoa_1379,1973-10-07,F,64.0,1.74
1511,pessoa_1766,2011-11-10,F,45.4,1.55
1512,pessoa_3013,2005-09-07,M,78.8,1.63
1513,pessoa_414,2024-05-09,F,8.9,0.65
1514,pessoa_4285,1961-05-10,M,58.5,1.54
1515,pessoa_1408,1981-10-11,F,114.3,1.66
1516,pessoa_1659,1991-01-25,M,97.4,1.92
1517,pessoa_802,2018-12-27,M,27.7,1.15
1518,pessoa_1289,2009-08-15,M,46.3,1.59
1519,pessoa_2183,2008-10-26,F,54.8,1.41
1520,pessoa_2589,1984-09-09,M,50.6,1.64
1521,pessoa_2616,1967-01-19,F,97.4,1.62
1522,pessoa_2319,1984-07-15,M,113.5,1.83
1523,pessoa_257,2021-04-25,M,17.9,1.0
1524,pessoa_4542,1956-02-01,F,56.1,1.65
1525,pessoa_1730,1969-06-01,F,93.1,1.63
1526,pessoa_1152,1987-01-20,F,53.3,1.54
1527,pessoa_4145,1994-03-21,M,68.4,1.69
1528,pessoa_648,2024-03-07,M,13.6,0.99
1529,pessoa_2909,1997-05-15,F,50.9,1.46
1530,pessoa_1703,2014-02-19,M,46.0,1.6
1531,pessoa_1882,2003-08-29,F,60.1,1.7
1532,pessoa_3769,2001-08-18,M,93.7,1.82
1533,pessoa_1316,1968-10-10,M,92.7,1.82
1534,pessoa_2270,1993-04-19,F,72.6,1.62
1535,pessoa_1967,1977-03-19,M,79.9,1.7
1536,pessoa_2466,1993-06-20,M,79.1,1.69
1537,pessoa_3856,1974-03-30,M,109.3,1.69
1538,pessoa_1351,1971-09-07,M,69.4,1.8
1539,pessoa_3297,2000-11-07,M,67.0,1.69
1540,pessoa_113,2017-03-25,M,35.6,1.37
1541,pessoa_3134,1998-09-26,F,85.5,1.65
1542,pessoa_264,2025-06-25,F,9.6,0.45
1543,pessoa_1394,1977-02-18,M,75.9,1.74
1544,pessoa_1879,1989-08-11,M,87.0,1.67
1545,pessoa_1187,1971-12-23,F,46.4,1.62
1546,pessoa_3072,2003-03-10,M,66.9,1.66
1547,pessoa_57,2014-07-10,M,36.2,1.5
1548,pessoa_1310,2011-02-16,M,48.6,1.57
1549,pessoa_696,2025-07-02,M,5.1,0.53
1550,pessoa_2953,1997-03-01,F,81.9,1.57
1551,pessoa_1727,1987-06-23,M,56.1,1.66
1552,pessoa_2092,1972-02-11,F,65.9,1.72
1553,pessoa_3870,1984-12-29,M,134.0,1.79
1554,pessoa_320,2017-06-14,M,31.8,1.35
1555,pessoa_4321,1935-03-16,F,53.6,1.49
1556,pessoa_683,2019-02-25,F,25.7,1.23
1557,pessoa_3842,2010-06-11,F,58.9,1.56
1558,pessoa_3214,1973-09-02,M,66.4,1.78
1559,pessoa_2003,1969-03-10,F,46.1,1.52
1560,pessoa_4783,1963-04-13,F,60.8,1.52
1561,pessoa_4151,2008-07-02,M,46.4,1.63
1562,pessoa_287,2024-08-03,M,8.4,0.63
1563,pessoa_1889,1989-11-29,M,81.5,1.76
1564,pessoa_2338,1979-07-05,F,67.1,1.71
1565,pessoa_2521,1972-04-15,F,45.6,1.64
1566,pessoa_2278,1970-12-11,F,74.0,1.63
1567,pessoa_2128,1996-01-14,F,74.1,1.63
1568,pessoa_3500,2006-05-23,M,67.6,1.68
1569,pessoa_4212,1986-02-11,F,51.9,1.5
1570,pessoa_2084,2010-11-06,F,58.8,1.64
1571,pessoa_737,2018-09-25,M,30.3,1.2
1572,pessoa_4802,1944-09-19,F,43.6,1.56
1573,pessoa_337,2022-07-30,M,20.2,0.93
1574,pessoa_2597,1980-09-07,M,66.3,1.81
1575,pessoa_2772,2008-03-26,F,58.1,1.57
1576,pessoa_3705,1973-07-24,F,77.3,1.72
1577,pessoa_4405,1947-08-02,F,46.6,1.61
1578,pessoa_1072,1978-12-20,M,66.2,1.63
1579,pessoa_2291,1979-01-12,F,64.7,1.65
1580,pessoa_1673,1975-11-14,F,66.6,1.77
1581,pessoa_4084,1976-01-13,F,61.3,1.52
1582,pessoa_4251,1932-01-11,M,75.5,1.66
1583,pessoa_4114,1977-09-29,F,46.9,1.52
1584,pessoa_4409,1946-01-15,M,80.2,1.82
1585,pessoa_3367,1993-01-09,M,66.4,1.79
1586,pessoa_1489,1992-12-12,F,80.3,1.59
1587,pessoa_499,2021-05-14,F,22.4,1.09
1588,pessoa_4383,1950-09-30,M,60.0,1.75
1589,pessoa_3480,1990-03-21,F,71.3,1.71
1590,pessoa_2582,2008-01-24,F,80.7,1.63
1591,pessoa_3124,1976-11-22,F,59.6,1.6
1592,pessoa_2922,2001-10-26,F,82.1,1.58
1593,pessoa_4378,1935-01-06,M,76.1,1.73
1594,pessoa_2645,1977-05-15,M,91.0,1.79
1595,pessoa_4287,1966-02-12,F,62.9,1.55
1596,pessoa_4041,2005-08-26,M,63.3,1.69
1597,pessoa_2035,2007-06-15,F,109.4,1.59
1598,pessoa_1023,1998-12-10,F,59.9,1.66
1599,pessoa_2283,1976-03-01,M,64.4,1.63
1600,pessoa_4887,1958-12-29,M,70.2,1.69
1601,pessoa_4220,1992-08-06,M,85.7,1.79
1602,pessoa_3064,1999-09-28,F,57.7,1.72
1603,pessoa_4366,1959-11-13,F,70.4,1.6
1604,pessoa_666,2014-07-20,M,34.1,1.54
1605,pessoa_3933,1972-11-11,M,69.1,1.64
1606,pessoa_2639,2006-04-19,M,95.4,1.7
1607,pessoa_3177,1994-09-30,F,56.5,1.71
1608,pessoa_4266,1957-02-10,F,40.2,1.44
1609,pessoa_3122,1984-02-07,F,56.5,1.69
1610,pessoa_1018,2010-09-30,F,61.9,1.74
1611,pessoa_558,2024-03-28,F,12.7,0.76
1612,pessoa_2400,2011-01-01,F,68.7,1.55
1613,pessoa_1208,1998-07-02,M,78.1,1.77
1614,pessoa_2006,1991-08-10,F,52.5,1.47
1615,pessoa_2657,1977-12-31,M,77.1,1.71
1616,pessoa_2136,2007-11-08,F,64.8,1.56
1617,pessoa_1511,1997-01-30,M,51.6,1.64
1618,pessoa_1737,2009-06-29,F,47.4,1.61
1619,pessoa_246,2019-11-01,F,20.5,1.09
1620,pessoa_1164,1974-10-15,F,45.7,1.42
1621,pessoa_3363,1978-08-20,F,95.8,1.61
1622,pessoa_267,2016-06-25,F,27.0,1.24
1623,pessoa_2367,1988-12-21,M,71.4,1.74
1624,pessoa_1115,1980-12-04,M,58.7,1.68
1625,pessoa_64,2021-09-08,F,13.7,0.95
1626,pessoa_2593,1980-11-15,M,64.6,1.71
1627,pessoa_2789,1971-09-21,F,78.7,1.69
1628,pessoa_2758,1986-08-17,M,114.6,1.8
1629,pessoa_3012,1984-09-21,F,57.1,1.51
1630,pessoa_3077,1977-06-21,F,55.9,1.53
1631,pessoa_2999,1991-03-19,M,78.2,1.66
1632,pessoa_2816,2002-04-27,M,70.8,1.71
1633,pessoa_2260,1970-03-04,M,62.2,1.74
1634,pessoa_4959,1965-05-24,M,86.9,1.75
1635,pessoa_3205,1977-08-09,F,44.6,1.59
1636,pessoa_1238,1982-11-14,M,77.8,1.63
1637,pessoa_104,2019-10-16,M,16.6,1.05
1638,pessoa_2644,1998-11-04,F,57.1,1.53
1639,pessoa_273,2025-06-06,F,10.3,0.5
1640,pessoa_509,2017-04-19,F,31.6,1.34
1641,pessoa_2227,1982-09-21,M,50.3,1.65
1642,pessoa_4934,1940-02-27,M,66.3,1.71
1643,pessoa_2442,2012-03-18,F,55.5,1.55
1644,pessoa_866,2016-12-08,M,47.2,1.29
1645,pessoa_3327,2003-11-09,F,81.4,1.66
1646,pessoa_909,2022-02-03,F,21.1,1.03
1647,pessoa_2115,2013-08-29,F,70.6,1.48
1648,pessoa_3897,1975-01-13,F,66.3,1.59
1649,pessoa_1628,1998-09-01,M,135.5,1.89
1650,pessoa_2874,2007-12-08,M,82.2,1.74
1651,pessoa_1523,1988-06-01,F,62.3,1.62
1652,pessoa_836,2022-11-05,F,15.5,0.89
1653,pessoa_359,2022-07-23,M,16.9,0.97
1654,pessoa_139,2020-08-09,M,17.5,1.06
1655,pessoa_300,2016-04-14,F,30.5,1.34
1656,pessoa_1557,1985-12-08,F,61.6,1.69
1657,pessoa_1004,1992-06-17,F,71.6,1.6
1658,pessoa_383,2021-06-19,F,18.2,0.94
1659,pessoa_942,2018-08-20,F,23.4,1.16
1660,pessoa_4447,1956-01-31,M,85.3,1.71
1661,pessoa_4855,1931-07-14,M,69.5,1.69
1662,pessoa_762,2025-08-01,F,5.7,0.55
1663,pessoa_1706,1999-05-10,M,77.7,1.66
1664,pessoa_1874,1984-06-27,M,63.0,1.8
1665,pessoa_2551,1995-05-13,M,60.5,1.78
1666,pessoa_2087,1983-08-12,F,59.8,1.7
1667,pessoa_2198,1976-05-25,F,68.6,1.55
1668,pessoa_899,2022-11-08,F,12.5,0.89
1669,pessoa_4000,2000-12-18,M,58.4,1.76
1670,pessoa_3616,1983-03-03,F,64.4,1.52
1671,pessoa_1403,1981-06-18,F,52.7,1.61
1672,pessoa_3874,2010-08-09,M,60.6,1.64
1673,pessoa_3786,1978-08-29,F,67.2,1.67
1674,pessoa_4387,1946-10-20,M,69.0,1.58
1675,pessoa_2956,2009-05-23,M,60.0,1.65
1676,pessoa_1513,1967-11-03,M,66.1,1.73
1677,pessoa_1189,1990-08-17,M,63.5,1.7
1678,pessoa_2990,2008-11-23,F,55.1,1.55
1679,pessoa_2081,1974-10-17,F,70.3,1.63
1680,pessoa_4984,1952-04-22,M,80.1,1.63
1681,pessoa_3438,2013-09-01,M,34.0,1.31
1682,pessoa_109,2019-12-17,M,30.7,1.15
1683,pessoa_4699,1945-03-11,F,59.1,1.62
1684,pessoa_2828,1982-03-01,M,98.8,1.78
1685,pessoa_4748,1939-10-03,M,64.1,1.67
1686,pessoa_59,2018-08-09,F,20.6,1.1
1687,pessoa_77,2023-04-06,F,18.9,0.98
1688,pessoa_797,2020-07-19,F,15.5,0.97
1689,pessoa_369,2022-10-07,M,12.5,0.89
1690,pessoa_4906,1960-04-03,M,73.6,1.73
1691,pessoa_786,2019-03-14,F,32.3,1.2
1692,pessoa_2089,1995-12-14,M,52.3,1.7
1693,pessoa_2315,1990-01-18,M,85.4,1.81
1694,pessoa_3385,1980-06-03,F,49.7,1.51
1695,pessoa_3606,1994-07-18,M,88.6,1.83
1696,pessoa_4112,1985-02-07,M,125.5,1.81
1697,pessoa_1903,1994-01-30,M,56.4,1.61
1698,pessoa_1704,1994-09-11,F,78.3,1.75
1699,pessoa_122,2022-03-29,M,15.1,0.94
1700,pessoa_1845,1990-11-30,M,101.6,1.77
1701,pessoa_2370,2000-03-17,M,87.3,1.73
1702,pessoa_3729,1997-10-07,M,85.7,1.78
1703,pessoa_911,2020-06-17,F,17.4,1.03
1704,pessoa_125,2020-06-11,M,20.5,1.03
1705,pessoa_2573,1978-09-20,F,69.6,1.57
1706,pessoa_1587,2004-04-19,M,73.8,1.74
1707,pessoa_1258,1983-02-10,M,81.3,1.84
1708,pessoa_3442,1972-12-30,M,112.6,1.75
1709,pessoa_3481,1978-06-29,M,55.8,1.59
1710,pessoa_4109,2005-08-30,M,78.2,1.85
1711,pessoa_1179,1977-12-13,F,45.5,1.61
1712,pessoa_3464,2014-01-21,F,58.4,1.59
1713,pessoa_3470,1992-04-27,F,80.8,1.72
1714,pessoa_3468,1997-06-11,M,66.3,1.7
1715,pessoa_2104,1986-02-18,F,59.3,1.67
1716,pessoa_443,2014-12-25,M,29.0,1.37
1717,pessoa_2228,1991-08-12,F,64.0,1.73
1718,pessoa_4417,1941-09-13,F,53.1,1.5
1719,pessoa_926,2015-10-09,F,28.8,1.32
1720,pessoa_4021,1983-07-12,M,89.2,1.78
1721,pessoa_2146,1972-08-02,F,56.0,1.47
1722,pessoa_4771,1934-09-30,F,73.8,1.61
1723,pessoa_1412,1991-08-13,M,52.3,1.73
1724,pessoa_3467,2008-10-12,F,42.3,1.54
1725,pessoa_2073,1974-06-25,F,64.9,1.57
1726,pessoa_1510,1996-03-28,F,62.0,1.68
1727,pessoa_1228,2009-10-18,F,44.6,1.57
1728,pessoa_4073,2007-04-10,M,68.1,1.69
1729,pessoa_2586,1981-01-01,M,65.9,1.71
1730,pessoa_4451,1932-01-30,F,54.0,1.55
1731,pessoa_2952,1977-09-06,F,83.0,1.76
1732,pessoa_3886,1973-10-28,M,107.9,1.83
1733,pessoa_325,2025-06-20,F,11.2,0.45
1734,pessoa_3978,2003-12-05,F,76.7,1.67
